,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,PF,21.0,MIA,26.0,2.0,379.0,63.0,109.0,0.578,0.0,0.0,,63.0,109.0,0.578,0.578,34.0,63.0,0.54,36.0,69.0,105.0,17.0,10.0,15.0,29.0,50.0,160.0
1,Jaylen Adams,PG,24.0,MIL,6.0,0.0,17.0,1.0,8.0,0.125,0.0,2.0,0.0,1.0,6.0,0.167,0.125,0.0,0.0,,0.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0
2,Steven Adams,C,27.0,NOP,24.0,24.0,697.0,84.0,143.0,0.587,0.0,1.0,0.0,84.0,142.0,0.592,0.587,26.0,55.0,0.473,103.0,114.0,217.0,56.0,23.0,13.0,44.0,47.0,194.0
3,Bam Adebayo,C,23.0,MIA,24.0,24.0,803.0,170.0,304.0,0.559,2.0,5.0,0.4,168.0,299.0,0.562,0.563,125.0,147.0,0.85,45.0,178.0,223.0,125.0,24.0,23.0,72.0,59.0,467.0
4,LaMarcus Aldridge,C,35.0,SAS,18.0,18.0,480.0,107.0,225.0,0.476,24.0,67.0,0.358,83.0,158.0,0.525,0.529,16.0,21.0,0.762,15.0,63.0,78.0,35.0,7.0,16.0,16.0,27.0,254.0
5,Ty-Shon Alexander,SG,22.0,PHO,3.0,0.0,8.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,Nickeil Alexander-Walker,SG,22.0,NOP,21.0,3.0,429.0,73.0,184.0,0.397,23.0,86.0,0.267,50.0,98.0,0.51,0.459,25.0,32.0,0.781,4.0,54.0,58.0,45.0,25.0,8.0,30.0,38.0,194.0
7,Grayson Allen,SG,25.0,MEM,16.0,5.0,365.0,46.0,113.0,0.407,34.0,83.0,0.41,12.0,30.0,0.4,0.558,31.0,35.0,0.886,7.0,39.0,46.0,30.0,17.0,3.0,19.0,21.0,157.0
8,Jarrett Allen,C,22.0,TOT,26.0,8.0,677.0,111.0,168.0,0.661,1.0,4.0,0.25,110.0,164.0,0.671,0.664,94.0,125.0,0.752,76.0,152.0,228.0,41.0,12.0,44.0,38.0,41.0,317.0
9,Al-Farouq Aminu,PF,30.0,ORL,1.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
10,Kyle Anderson,PF,27.0,MEM,21.0,21.0,594.0,101.0,224.0,0.451,33.0,92.0,0.359,68.0,132.0,0.515,0.525,39.0,50.0,0.78,21.0,112.0,133.0,80.0,17.0,16.0,32.0,36.0,274.0
11,Giannis Antetokounmpo,PF,26.0,MIL,25.0,25.0,833.0,258.0,458.0,0.563,28.0,100.0,0.28,230.0,358.0,0.642,0.594,159.0,251.0,0.633,43.0,238.0,281.0,139.0,26.0,31.0,89.0,77.0,703.0
12,Kostas Antetokounmpo,PF,23.0,LAL,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
13,Thanasis Antetokounmpo,SF,28.0,MIL,17.0,0.0,149.0,17.0,26.0,0.654,2.0,7.0,0.286,15.0,19.0,0.789,0.692,4.0,7.0,0.571,13.0,18.0,31.0,15.0,5.0,3.0,15.0,25.0,40.0
14,Carmelo Anthony,PF,36.0,POR,24.0,3.0,605.0,109.0,273.0,0.399,42.0,107.0,0.393,67.0,166.0,0.404,0.476,63.0,74.0,0.851,11.0,71.0,82.0,28.0,20.0,20.0,21.0,48.0,323.0
15,Cole Anthony,PG,20.0,ORL,25.0,17.0,667.0,101.0,269.0,0.375,27.0,83.0,0.325,74.0,186.0,0.398,0.426,46.0,55.0,0.836,20.0,91.0,111.0,94.0,17.0,11.0,51.0,51.0,275.0
16,OG Anunoby,SF,23.0,TOR,17.0,17.0,592.0,86.0,177.0,0.486,42.0,97.0,0.433,44.0,80.0,0.55,0.605,35.0,47.0,0.745,27.0,72.0,99.0,27.0,35.0,9.0,30.0,49.0,249.0
17,Ryan Arcidiacono,PG,26.0,CHI,9.0,0.0,96.0,8.0,22.0,0.364,6.0,15.0,0.4,2.0,7.0,0.286,0.5,4.0,5.0,0.8,1.0,17.0,18.0,14.0,3.0,0.0,2.0,10.0,26.0
18,D.J. Augustin,PG,33.0,MIL,25.0,0.0,443.0,46.0,132.0,0.348,32.0,83.0,0.386,14.0,49.0,0.286,0.47,33.0,36.0,0.917,10.0,21.0,31.0,68.0,13.0,1.0,21.0,18.0,157.0
19,Deni Avdija,SF,20.0,WAS,19.0,16.0,435.0,51.0,116.0,0.44,24.0,65.0,0.369,27.0,51.0,0.529,0.543,8.0,15.0,0.533,11.0,77.0,88.0,33.0,16.0,4.0,15.0,50.0,134.0
20,Deandre Ayton,C,22.0,PHO,25.0,25.0,802.0,152.0,262.0,0.58,3.0,14.0,0.214,149.0,248.0,0.601,0.586,43.0,60.0,0.717,94.0,214.0,308.0,45.0,8.0,26.0,54.0,85.0,350.0
21,Udoka Azubuike,C,21.0,UTA,12.0,0.0,49.0,4.0,7.0,0.571,0.0,0.0,,4.0,7.0,0.571,0.571,4.0,6.0,0.667,4.0,9.0,13.0,0.0,1.0,4.0,3.0,8.0,12.0
22,Dwayne Bacon,SG,25.0,ORL,27.0,18.0,670.0,106.0,259.0,0.409,28.0,74.0,0.378,78.0,185.0,0.422,0.463,37.0,48.0,0.771,11.0,75.0,86.0,29.0,20.0,2.0,19.0,45.0,277.0
23,Marvin Bagley III,PF,21.0,SAC,24.0,24.0,602.0,121.0,256.0,0.473,25.0,67.0,0.373,96.0,189.0,0.508,0.521,33.0,67.0,0.493,50.0,127.0,177.0,22.0,12.0,11.0,37.0,62.0,300.0
24,LaMelo Ball,PG,19.0,CHO,27.0,7.0,737.0,145.0,328.0,0.442,48.0,136.0,0.353,97.0,192.0,0.505,0.515,55.0,69.0,0.797,40.0,121.0,161.0,163.0,40.0,9.0,70.0,70.0,393.0
25,Lonzo Ball,PG,23.0,NOP,22.0,22.0,678.0,112.0,267.0,0.419,62.0,165.0,0.376,50.0,102.0,0.49,0.536,17.0,23.0,0.739,13.0,86.0,99.0,105.0,28.0,12.0,42.0,52.0,303.0
26,Mo Bamba,C,22.0,ORL,11.0,0.0,80.0,25.0,43.0,0.581,4.0,12.0,0.333,21.0,31.0,0.677,0.628,3.0,5.0,0.6,13.0,20.0,33.0,4.0,2.0,6.0,4.0,12.0,57.0
27,Desmond Bane,SG,22.0,MEM,20.0,2.0,456.0,75.0,155.0,0.484,41.0,85.0,0.482,34.0,70.0,0.486,0.616,14.0,17.0,0.824,9.0,44.0,53.0,32.0,13.0,3.0,23.0,37.0,205.0
28,Harrison Barnes,PF,28.0,SAC,25.0,25.0,891.0,138.0,282.0,0.489,45.0,109.0,0.413,93.0,173.0,0.538,0.569,93.0,109.0,0.853,28.0,133.0,161.0,88.0,19.0,5.0,36.0,29.0,414.0
29,RJ Barrett,SG,20.0,NYK,28.0,28.0,953.0,174.0,412.0,0.422,27.0,96.0,0.281,147.0,316.0,0.465,0.455,83.0,112.0,0.741,35.0,138.0,173.0,88.0,20.0,5.0,53.0,71.0,458.0
30,Will Barton,SF,30.0,DEN,25.0,21.0,744.0,109.0,250.0,0.436,40.0,99.0,0.404,69.0,151.0,0.457,0.516,33.0,44.0,0.75,12.0,81.0,93.0,80.0,20.0,11.0,38.0,46.0,291.0
31,Keita Bates-Diop,SF,25.0,SAS,8.0,0.0,27.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,0.833,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0
32,Nicolas Batum,SF,32.0,LAC,26.0,26.0,776.0,89.0,180.0,0.494,56.0,122.0,0.459,33.0,58.0,0.569,0.65,26.0,30.0,0.867,24.0,106.0,130.0,61.0,35.0,9.0,19.0,46.0,260.0
33,Aron Baynes,C,34.0,TOR,23.0,23.0,429.0,55.0,136.0,0.404,12.0,52.0,0.231,43.0,84.0,0.512,0.449,7.0,8.0,0.875,33.0,93.0,126.0,23.0,6.0,8.0,19.0,57.0,129.0
34,Kent Bazemore,SF,31.0,GSW,25.0,0.0,386.0,56.0,109.0,0.514,23.0,51.0,0.451,33.0,58.0,0.569,0.619,20.0,25.0,0.8,11.0,64.0,75.0,38.0,19.0,14.0,26.0,53.0,155.0
35,Darius Bazley,PF,20.0,OKC,25.0,25.0,773.0,108.0,280.0,0.386,35.0,125.0,0.28,73.0,155.0,0.471,0.448,41.0,54.0,0.759,15.0,174.0,189.0,40.0,10.0,19.0,47.0,27.0,292.0
36,Bradley Beal,SG,27.0,WAS,21.0,21.0,741.0,241.0,515.0,0.468,52.0,156.0,0.333,189.0,359.0,0.526,0.518,155.0,174.0,0.891,32.0,73.0,105.0,94.0,27.0,12.0,63.0,55.0,689.0
37,Malik Beasley,SG,24.0,MIN,26.0,26.0,836.0,200.0,439.0,0.456,86.0,219.0,0.393,114.0,220.0,0.518,0.554,59.0,69.0,0.855,26.0,108.0,134.0,63.0,20.0,5.0,38.0,43.0,545.0
38,Jordan Bell,C,26.0,WAS,3.0,1.0,50.0,5.0,15.0,0.333,0.0,2.0,0.0,5.0,13.0,0.385,0.333,0.0,0.0,,5.0,11.0,16.0,5.0,1.0,3.0,3.0,4.0,10.0
39,DeAndre' Bembry,SF,26.0,TOR,17.0,0.0,221.0,27.0,45.0,0.6,7.0,12.0,0.583,20.0,33.0,0.606,0.678,3.0,4.0,0.75,8.0,18.0,26.0,28.0,11.0,5.0,11.0,21.0,64.0
40,Dāvis Bertāns,PF,28.0,WAS,20.0,3.0,508.0,60.0,176.0,0.341,52.0,157.0,0.331,8.0,19.0,0.421,0.489,32.0,40.0,0.8,9.0,48.0,57.0,19.0,14.0,5.0,13.0,50.0,204.0
41,Patrick Beverley,PG,32.0,LAC,18.0,18.0,440.0,46.0,113.0,0.407,30.0,72.0,0.417,16.0,41.0,0.39,0.54,19.0,25.0,0.76,20.0,54.0,74.0,36.0,16.0,13.0,13.0,61.0,141.0
42,Saddiq Bey,SF,21.0,DET,24.0,7.0,459.0,67.0,164.0,0.409,45.0,108.0,0.417,22.0,56.0,0.393,0.546,33.0,41.0,0.805,10.0,74.0,84.0,16.0,10.0,1.0,16.0,31.0,212.0
43,Tyler Bey,SF,22.0,DAL,4.0,0.0,13.0,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,2.0,4.0,0.5,2.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,6.0
44,Khem Birch,C,28.0,ORL,27.0,0.0,581.0,68.0,133.0,0.511,2.0,10.0,0.2,66.0,123.0,0.537,0.519,46.0,60.0,0.767,74.0,89.0,163.0,33.0,20.0,18.0,16.0,46.0,184.0
45,Goga Bitadze,C,21.0,IND,12.0,0.0,122.0,22.0,38.0,0.579,2.0,12.0,0.167,20.0,26.0,0.769,0.605,9.0,12.0,0.75,9.0,20.0,29.0,3.0,3.0,14.0,4.0,22.0,55.0
46,Bismack Biyombo,C,28.0,CHO,25.0,16.0,559.0,64.0,113.0,0.566,0.0,1.0,0.0,64.0,112.0,0.571,0.566,20.0,44.0,0.455,56.0,93.0,149.0,33.0,6.0,30.0,23.0,58.0,148.0
47,Nemanja Bjelica,PF,32.0,SAC,11.0,0.0,179.0,26.0,59.0,0.441,6.0,24.0,0.25,20.0,35.0,0.571,0.492,23.0,28.0,0.821,11.0,34.0,45.0,25.0,0.0,2.0,13.0,21.0,81.0
48,Eric Bledsoe,SG,31.0,NOP,24.0,23.0,702.0,116.0,261.0,0.444,55.0,131.0,0.42,61.0,130.0,0.469,0.55,32.0,49.0,0.653,11.0,74.0,85.0,89.0,16.0,6.0,44.0,38.0,319.0
49,Keljin Blevins,SF,25.0,POR,8.0,0.0,38.0,1.0,9.0,0.111,0.0,3.0,0.0,1.0,6.0,0.167,0.111,0.0,0.0,,0.0,0.0,0.0,4.0,2.0,0.0,3.0,4.0,2.0
50,Bogdan Bogdanović,SG,28.0,ATL,9.0,2.0,213.0,30.0,78.0,0.385,21.0,58.0,0.362,9.0,20.0,0.45,0.519,8.0,9.0,0.889,2.0,32.0,34.0,19.0,4.0,1.0,11.0,18.0,89.0
51,Bojan Bogdanović,SF,31.0,UTA,27.0,27.0,834.0,140.0,329.0,0.426,74.0,182.0,0.407,66.0,147.0,0.449,0.538,72.0,84.0,0.857,13.0,96.0,109.0,60.0,11.0,1.0,39.0,41.0,426.0
52,Bol Bol,PF,21.0,DEN,12.0,2.0,65.0,7.0,16.0,0.438,2.0,6.0,0.333,5.0,10.0,0.5,0.5,1.0,2.0,0.5,0.0,9.0,9.0,2.0,1.0,4.0,5.0,7.0,17.0
53,Marques Bolden,C,22.0,CLE,6.0,0.0,29.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,5.0,8.0,0.625,3.0,3.0,6.0,0.0,2.0,2.0,2.0,0.0,7.0
54,Jordan Bone,PG,23.0,ORL,14.0,0.0,196.0,23.0,54.0,0.426,10.0,32.0,0.313,13.0,22.0,0.591,0.519,0.0,0.0,,4.0,20.0,24.0,18.0,2.0,0.0,3.0,11.0,56.0
55,Isaac Bonga,SF,21.0,WAS,16.0,7.0,224.0,14.0,35.0,0.4,9.0,22.0,0.409,5.0,13.0,0.385,0.529,2.0,3.0,0.667,8.0,30.0,38.0,9.0,4.0,4.0,7.0,25.0,39.0
56,Devin Booker,SG,24.0,PHO,21.0,21.0,739.0,187.0,383.0,0.488,46.0,126.0,0.365,141.0,257.0,0.549,0.548,92.0,112.0,0.821,4.0,75.0,79.0,88.0,19.0,7.0,79.0,70.0,512.0
57,Chris Boucher,C,28.0,TOR,26.0,0.0,605.0,127.0,238.0,0.534,41.0,93.0,0.441,86.0,145.0,0.593,0.62,65.0,88.0,0.739,52.0,127.0,179.0,27.0,13.0,53.0,18.0,71.0,360.0
58,Brian Bowen,SF,22.0,IND,1.0,0.0,5.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
59,Avery Bradley,SG,30.0,MIA,10.0,1.0,211.0,31.0,66.0,0.47,16.0,38.0,0.421,15.0,28.0,0.536,0.591,7.0,9.0,0.778,2.0,16.0,18.0,14.0,7.0,1.0,9.0,26.0,85.0
60,Tony Bradley,C,23.0,PHI,10.0,1.0,117.0,19.0,36.0,0.528,0.0,1.0,0.0,19.0,35.0,0.543,0.528,3.0,5.0,0.6,21.0,29.0,50.0,6.0,3.0,6.0,1.0,11.0,41.0
61,Jarrell Brantley,PF,24.0,UTA,7.0,0.0,20.0,3.0,7.0,0.429,3.0,5.0,0.6,0.0,2.0,0.0,0.643,0.0,0.0,,1.0,3.0,4.0,0.0,1.0,1.0,1.0,4.0,9.0
62,Ignas Brazdeikis,SF,22.0,NYK,4.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0
63,Mikal Bridges,SF,24.0,PHO,25.0,25.0,830.0,126.0,252.0,0.5,48.0,124.0,0.387,78.0,128.0,0.609,0.595,51.0,62.0,0.823,36.0,97.0,133.0,54.0,14.0,25.0,18.0,49.0,351.0
64,Miles Bridges,PF,22.0,CHO,27.0,1.0,711.0,103.0,219.0,0.47,36.0,96.0,0.375,67.0,123.0,0.545,0.553,30.0,32.0,0.938,36.0,120.0,156.0,52.0,19.0,21.0,46.0,63.0,272.0
65,Malcolm Brogdon,PG,28.0,IND,27.0,27.0,963.0,214.0,487.0,0.439,70.0,181.0,0.387,144.0,306.0,0.471,0.511,73.0,81.0,0.901,16.0,100.0,116.0,178.0,35.0,7.0,53.0,49.0,571.0
66,Dillon Brooks,SF,25.0,MEM,21.0,21.0,612.0,125.0,323.0,0.387,41.0,131.0,0.313,84.0,192.0,0.438,0.45,32.0,42.0,0.762,25.0,46.0,71.0,57.0,28.0,9.0,47.0,65.0,323.0
67,Bruce Brown,PG,24.0,BRK,24.0,11.0,447.0,69.0,119.0,0.58,4.0,21.0,0.19,65.0,98.0,0.663,0.597,19.0,27.0,0.704,32.0,78.0,110.0,23.0,13.0,8.0,20.0,46.0,161.0
68,Jaylen Brown,SG,24.0,BOS,23.0,23.0,767.0,229.0,447.0,0.512,54.0,132.0,0.409,175.0,315.0,0.556,0.573,87.0,114.0,0.763,28.0,101.0,129.0,81.0,30.0,14.0,59.0,67.0,599.0
69,Moses Brown,C,21.0,OKC,7.0,0.0,31.0,7.0,10.0,0.7,0.0,0.0,,7.0,10.0,0.7,0.7,7.0,14.0,0.5,4.0,11.0,15.0,3.0,1.0,4.0,1.0,4.0,21.0
70,Sterling Brown,SG,25.0,HOU,24.0,1.0,505.0,68.0,148.0,0.459,38.0,90.0,0.422,30.0,58.0,0.517,0.588,8.0,8.0,1.0,19.0,75.0,94.0,41.0,24.0,5.0,14.0,45.0,182.0
71,Troy Brown Jr.,SF,21.0,WAS,12.0,0.0,200.0,22.0,60.0,0.367,11.0,35.0,0.314,11.0,25.0,0.44,0.458,7.0,12.0,0.583,8.0,35.0,43.0,13.0,2.0,2.0,11.0,22.0,62.0
72,Jalen Brunson,PG,24.0,DAL,23.0,6.0,544.0,98.0,188.0,0.521,26.0,63.0,0.413,72.0,125.0,0.576,0.59,47.0,53.0,0.887,5.0,69.0,74.0,85.0,9.0,0.0,28.0,35.0,269.0
73,Thomas Bryant,C,23.0,WAS,10.0,10.0,271.0,59.0,91.0,0.648,9.0,21.0,0.429,50.0,70.0,0.714,0.698,16.0,24.0,0.667,18.0,43.0,61.0,15.0,4.0,8.0,11.0,31.0,143.0
74,Reggie Bullock,SF,29.0,NYK,23.0,23.0,614.0,74.0,181.0,0.409,42.0,109.0,0.385,32.0,72.0,0.444,0.525,11.0,14.0,0.786,6.0,76.0,82.0,29.0,17.0,5.0,16.0,58.0,201.0
75,Trey Burke,PG,28.0,DAL,26.0,0.0,457.0,78.0,176.0,0.443,35.0,89.0,0.393,43.0,87.0,0.494,0.543,23.0,27.0,0.852,4.0,25.0,29.0,40.0,21.0,2.0,15.0,40.0,214.0
76,Alec Burks,SG,29.0,NYK,16.0,3.0,416.0,60.0,150.0,0.4,34.0,80.0,0.425,26.0,70.0,0.371,0.513,33.0,41.0,0.805,9.0,67.0,76.0,37.0,14.0,5.0,17.0,31.0,187.0
77,Jimmy Butler,SF,31.0,MIA,14.0,14.0,449.0,80.0,185.0,0.432,3.0,20.0,0.15,77.0,165.0,0.467,0.441,105.0,124.0,0.847,24.0,77.0,101.0,97.0,26.0,6.0,28.0,15.0,268.0
78,Bruno Caboclo,PF,25.0,HOU,6.0,0.0,36.0,8.0,17.0,0.471,0.0,5.0,0.0,8.0,12.0,0.667,0.471,1.0,2.0,0.5,3.0,11.0,14.0,1.0,0.0,2.0,4.0,6.0,17.0
79,Devontae Cacok,PF,24.0,LAL,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
80,Kentavious Caldwell-Pope,SG,27.0,LAL,23.0,23.0,577.0,70.0,151.0,0.464,37.0,83.0,0.446,33.0,68.0,0.485,0.586,21.0,25.0,0.84,7.0,45.0,52.0,33.0,16.0,7.0,23.0,37.0,198.0
81,Facundo Campazzo,PG,29.0,DEN,22.0,0.0,259.0,24.0,69.0,0.348,17.0,48.0,0.354,7.0,21.0,0.333,0.471,13.0,17.0,0.765,3.0,12.0,15.0,35.0,17.0,3.0,15.0,38.0,78.0
82,Vlatko Čančar,PF,23.0,DEN,11.0,0.0,33.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,2.0,6.0,8.0,0.0,3.0,2.0,2.0,2.0,0.0
83,Clint Capela,C,26.0,ATL,23.0,23.0,663.0,141.0,249.0,0.566,0.0,0.0,,141.0,249.0,0.566,0.566,36.0,67.0,0.537,104.0,215.0,319.0,23.0,18.0,51.0,32.0,51.0,318.0
84,Vernon Carey Jr.,C,19.0,CHO,3.0,0.0,6.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,1.0,2.0,0.5,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0
85,Jevon Carter,PG,25.0,PHO,22.0,0.0,254.0,25.0,72.0,0.347,14.0,49.0,0.286,11.0,23.0,0.478,0.444,2.0,2.0,1.0,3.0,28.0,31.0,25.0,10.0,6.0,5.0,27.0,66.0
86,Wendell Carter Jr.,C,21.0,CHI,14.0,14.0,377.0,65.0,122.0,0.533,4.0,15.0,0.267,61.0,107.0,0.57,0.549,45.0,62.0,0.726,33.0,79.0,112.0,34.0,9.0,9.0,27.0,43.0,179.0
87,Michael Carter-Williams,SG,29.0,ORL,8.0,3.0,187.0,22.0,60.0,0.367,2.0,15.0,0.133,20.0,45.0,0.444,0.383,11.0,14.0,0.786,17.0,26.0,43.0,19.0,4.0,4.0,12.0,22.0,57.0
88,Alex Caruso,PG,26.0,LAL,20.0,0.0,375.0,40.0,89.0,0.449,20.0,45.0,0.444,20.0,44.0,0.455,0.562,7.0,8.0,0.875,11.0,37.0,48.0,45.0,21.0,3.0,25.0,31.0,107.0
89,Willie Cauley-Stein,C,27.0,DAL,25.0,10.0,438.0,62.0,96.0,0.646,1.0,5.0,0.2,61.0,91.0,0.67,0.651,26.0,42.0,0.619,30.0,85.0,115.0,20.0,8.0,17.0,14.0,64.0,151.0
90,Chris Chiozza,PG,25.0,BRK,11.0,0.0,100.0,12.0,40.0,0.3,5.0,17.0,0.294,7.0,23.0,0.304,0.363,9.0,11.0,0.818,3.0,7.0,10.0,25.0,4.0,3.0,8.0,7.0,38.0
91,Marquese Chriss,PF,23.0,GSW,2.0,0.0,27.0,5.0,14.0,0.357,1.0,5.0,0.2,4.0,9.0,0.444,0.393,2.0,4.0,0.5,3.0,10.0,13.0,2.0,0.0,2.0,2.0,3.0,13.0
92,Gary Clark,SF,26.0,ORL,24.0,9.0,496.0,27.0,90.0,0.3,20.0,76.0,0.263,7.0,14.0,0.5,0.411,6.0,7.0,0.857,26.0,55.0,81.0,21.0,7.0,5.0,15.0,28.0,80.0
93,Brandon Clarke,PF,24.0,MEM,17.0,13.0,482.0,99.0,203.0,0.488,9.0,34.0,0.265,90.0,169.0,0.533,0.51,19.0,32.0,0.594,30.0,69.0,99.0,28.0,21.0,13.0,11.0,26.0,226.0
94,Jordan Clarkson,SG,28.0,UTA,27.0,0.0,697.0,174.0,385.0,0.452,82.0,221.0,0.371,92.0,164.0,0.561,0.558,40.0,41.0,0.976,25.0,90.0,115.0,57.0,24.0,7.0,50.0,40.0,470.0
95,Amir Coffey,SG,23.0,LAC,16.0,0.0,91.0,10.0,26.0,0.385,4.0,12.0,0.333,6.0,14.0,0.429,0.462,2.0,7.0,0.286,2.0,5.0,7.0,6.0,3.0,0.0,3.0,8.0,26.0
